layer,neuron
2,3086
2,17632
2,18477
4,119
4,1036
4,2164
4,9687
4,10722
4,11941
4,15152
4,15592
4,15818
4,18163
4,18488
4,18771
5,2671
5,10759
5,12174
5,16546
6,1393
6,10284
6,11571
7,5163
7,6923
7,10404
7,11782
7,16940
7,17095
7,17148
8,705
8,4694
8,4725
8,6491
8,6954
8,6958
8,7843
8,8881
8,8968
8,9306
8,9867
8,10176
8,10459
8,11137
8,11273
8,12865
8,15345
8,15448
8,15829
8,17664
9,250
9,341
9,540
9,612
9,761
9,864
9,1082
9,1108
9,1365
9,1570
9,1653
9,1729
9,1737
9,1929
9,2041
9,2310
9,2568
9,2813
9,3178
9,3314
9,3386
9,3601
9,3651
9,4122
9,4264
9,4387
9,4554
9,4886
9,4946
9,4977
9,5170
9,5883
9,6148
9,6236
9,6254
9,6517
9,6543
9,6605
9,6613
9,7006
9,7016
9,7025
9,7094
9,7556
9,7596
9,8026
9,8103
9,8130
9,8150
9,8205
9,8235
9,8252
9,8663
9,8712
9,8902
9,8988
9,9020
9,9035
9,9110
9,9178
9,9227
9,9284
9,9586
9,9696
9,10486
9,10702
9,10772
9,10844
9,10955
9,11048
9,11231
9,11235
9,11455
9,11808
9,12093
9,12152
9,12337
9,12521
9,12529
9,13510
9,13516
9,13601
9,13789
9,14117
9,15252
9,15569
9,15608
9,15652
9,15784
9,15838
9,16018
9,16111
9,16262
9,16402
9,16499
9,16721
9,16888
9,17321
9,17505
9,17621
9,18028
9,18302
9,18626
9,18694
9,18844
9,18873
9,18894
10,95
10,231
10,298
10,309
10,329
10,459
10,468
10,478
10,602
10,651
10,854
10,870
10,1096
10,1172
10,1258
10,1277
10,1437
10,1474
10,1507
10,1546
10,1594
10,1798
10,1905
10,2023
10,2119
10,2238
10,2275
10,2403
10,2447
10,2510
10,2552
10,2590
10,2652
10,2665
10,2733
10,2817
10,2998
10,3022
10,3220
10,3265
10,3424
10,3435
10,3473
10,3497
10,3730
10,3833
10,3875
10,3889
10,3916
10,4057
10,4135
10,4498
10,4606
10,4795
10,4797
10,4849
10,4978
10,5058
10,5098
10,5148
10,5153
10,5175
10,5199
10,5203
10,5223
10,5276
10,5348
