layer,neuron
2,3086
2,9840
2,17632
2,18477
4,119
4,293
4,1036
4,1097
4,2164
4,2333
4,6031
4,9134
4,9687
4,10408
4,10722
4,11941
4,12829
4,14525
4,15048
4,15152
4,15592
4,15818
4,16743
4,18163
4,18488
4,18771
5,2671
5,10759
5,11301
5,12174
5,15335
5,16546
5,17889
6,1393
6,2981
6,3060
6,4929
6,5028
6,7038
6,10284
6,11571
7,300
7,3330
7,5163
7,6387
7,6923
7,8726
7,10404
7,11782
7,13341
7,14013
7,16885
7,16938
7,16940
7,17095
7,17148
7,17414
7,18019
7,18597
8,98
8,705
8,1802
8,1918
8,3298
8,4197
8,4317
8,4694
8,4725
8,4927
8,5203
8,5302
8,5905
8,6300
8,6491
8,6954
8,6958
8,7544
8,7682
8,7694
8,7843
8,8292
8,8881
8,8968
8,9306
8,9391
8,9560
8,9867
8,10127
8,10176
8,10194
8,10298
8,10459
8,10902
8,11137
8,11273
8,11313
8,11472
8,12130
8,12161
8,12573
8,12865
8,13888
8,14346
8,14787
8,15345
8,15448
8,15829
8,16926
8,17038
8,17576
8,17664
8,17686
8,17710
8,18242
9,250
9,341
9,435
9,540
9,612
9,761
9,864
9,1082
9,1108
9,1333
9,1365
9,1570
9,1653
9,1729
9,1737
9,1894
9,1929
9,2041
9,2294
9,2310
9,2353
9,2542
9,2568
9,2669
9,2813
9,3178
9,3314
9,3386
9,3601
9,3651
9,3662
9,3665
9,4122
9,4264
9,4387
9,4554
9,4617
9,4886
9,4946
9,4977
9,5170
9,5558
9,5560
9,5616
9,5632
9,5883
9,6148
9,6236
9,6254
9,6354
9,6517
9,6543
9,6605
9,6613
9,7006
9,7016
9,7025
9,7084
9,7094
9,7466
9,7556
9,7596
9,8026
9,8103
9,8123
9,8130
9,8150
9,8205
9,8235
9,8252
9,8589
9,8663
9,8712
9,8802
9,8902
9,8988
9,9020
9,9035
9,9110
9,9178
9,9227
9,9284
9,9586
9,9696
9,9845
9,9985
9,10075
9,10150
9,10163
9,10427
9,10486
9,10510
9,10702
9,10772
9,10825
9,10844
9,10955
9,11048
9,11071
9,11231
9,11235
9,11432
9,11455
9,11808
9,12093
9,12152
9,12165
9,12169
9,12337
9,12521
9,12529
9,13510
9,13516
9,13601
9,13789
9,13826
9,14117
9,14228
9,14320
9,15252
9,15402
9,15531
9,15568
9,15569
9,15608
9,15652
9,15784
9,15838
9,16018
9,16111
9,16253
9,16262
9,16396
9,16402
9,16499
9,16721
9,16888
9,17088
9,17321
9,17379
9,17390
9,17505
9,17549
9,17621
9,18028
9,18165
9,18302
9,18504
9,18626
9,18694
9,18844
9,18873
9,18894
9,18911
10,33
10,95
10,217
10,231
10,298
10,309
10,329
10,459
10,468
10,478
10,602
10,651
10,740
10,854
10,870
10,931
10,1025
10,1059
10,1085
10,1096
10,1131
10,1135
10,1172
10,1246
10,1258
10,1277
10,1437
10,1474
10,1507
10,1539
10,1546
10,1587
10,1594
10,1703
10,1708
10,1798
10,1905
10,1996
10,2023
10,2119
10,2238
10,2258
10,2275
10,2333
10,2403
10,2447
10,2486
10,2510
10,2545
10,2552
10,2566
10,2590
10,2596
10,2648
10,2652
10,2665
10,2703
10,2733
10,2817
10,2911
10,2946
10,2998
10,3022
10,3081
10,3092
10,3141
10,3148
10,3220
10,3265
10,3424
10,3435
10,3473
10,3497
10,3507
10,3562
10,3730
10,3833
10,3875
10,3887
10,3889
10,3916
10,4020
10,4057
10,4126
10,4135
10,4376
10,4498
10,4606
10,4795
10,4797
10,4849
10,4877
10,4903
10,4909
10,4978
10,5035
10,5044
10,5055
10,5058
10,5098
10,5148
10,5153
10,5175
10,5199
10,5203
10,5223
10,5276
10,5282
10,5348
10,5407
10,5480
10,5496
10,5531
10,5540
10,5545
10,5561
10,5581
10,5596
10,5684
10,5799
10,5804
10,5868
10,5905
10,6039
10,6103
10,6105
10,6130
10,6272
10,6279
10,6307
10,6354
10,6386
10,6445
10,6481
10,6556
10,6564
10,6603
10,6677
10,6723
10,6831
10,6840
10,6852
10,6861
10,6888
10,6919
10,6963
10,6970
10,7002
10,7009
10,7040
10,7046
10,7063
10,7103
10,7186
10,7207
10,7277
10,7559
10,7629
10,7643
10,7695
10,7741
10,7776
10,7856
10,7929
10,7940
10,8061
10,8074
10,8212
10,8273
10,8280
10,8312
10,8313
10,8326
10,8375
10,8511
10,8560
10,8590
10,8644
10,8647
10,8663
10,8669
10,8687
10,8756
10,8784
10,8830
10,8894
10,8910
10,8924
10,9144
10,9146
10,9165
10,9173
10,9234
10,9255
10,9386
10,9491
10,9503
10,9530
10,9596
10,9606
10,9615
10,9654
10,9702
10,9703
10,9771
10,9812
10,9847
10,9935
10,9995
10,10015
10,10038
10,10248
10,10311
10,10366
10,10442
10,10455
10,10512
10,10532
10,10663
10,10674
10,10725
10,10739
10,10747
10,10817
10,10855
10,10860
10,10900
10,10908
10,10918
10,10925
10,10976
10,11010
10,11097
10,11138
10,11155
10,11232
10,11240
10,11259
10,11355
10,11369
10,11406
10,11420
10,11435
10,11484
10,11570
10,11597
10,11631
10,11783
10,11789
10,11869
10,11876
10,12023
10,12027
10,12032
10,12077
10,12121
10,12380
10,12414
10,12427
10,12446
10,12723
10,12807
10,12863
10,12874
10,13012
10,13126
10,13159
10,13349
10,13398
10,13427
10,13457
10,13514
10,13633
10,13647
10,13665
10,13702
10,13733
10,13939
10,13999
10,14044
10,14068
10,14180
10,14228
10,14238
10,14319
10,14472
10,14489
10,14497
10,14606
10,14629
10,14678
10,14692
10,14889
10,14890
10,14892
10,14899
10,14948
10,14975
10,15155
10,15174
10,15262
10,15330
10,15419
10,15425
10,15431
10,15532
10,15595
10,15710
10,15787
10,15814
10,15819
10,15829
10,15841
10,15931
10,15951
10,15965
10,15978
10,16081
10,16093
10,16230
10,16363
10,16403
10,16471
10,16478
10,16492
10,16494
10,16504
10,16507
10,16659
10,16714
10,16917
10,16963
10,17079
10,17329
10,17334
10,17346
10,17426
10,17450
10,17552
10,17642
10,17690
10,17719
10,17734
10,17829
10,17926
10,17968
10,17998
10,18004
10,18042
10,18398
10,18402
10,18411
10,18577
10,18619
10,18649
10,18683
10,18765
10,18807
11,86
11,117
11,126
11,145
11,223
11,226
11,290
11,475
11,479
11,641
11,690
11,769
11,873
11,989
11,994
11,1015
11,1047
11,1083
11,1121
11,1199
11,1275
11,1411
11,1422
11,1519
11,1644
11,1708
11,1830
11,1866
11,1884
11,1906
11,1931
11,2194
11,2343
11,2381
11,2487
11,2515
11,2518
11,2519
11,2684
11,2694
11,2713
11,2796
11,2875
11,2877
11,2912
11,2992
11,3093
11,3141
11,3330
11,3377
11,3424
11,3466
11,3507
11,3616
11,3619
11,3797
11,3869
11,3909
11,3925
11,4012
11,4099
11,4117
11,4123
11,4209
11,4231
11,4288
11,4503
11,4525
11,4583
11,4634
11,4646
11,4673
11,4684
11,4755
11,4920
11,4979
11,4994
11,5069
11,5133
11,5172
11,5175
11,5229
11,5296
11,5328
11,5505
11,5520
11,5555
11,5711
11,6013
11,6098
11,6100
11,6184
11,6206
11,6269
11,6299
11,6479
11,6492
11,6524
11,6539
11,6559
11,6661
11,6689
11,6746
11,6826
11,6840
11,6940
11,6965
11,7049
11,7100
11,7154
11,7157
11,7235
11,7363
11,7383
11,7427
11,7473
11,7493
11,7496
11,7511
11,7514
11,7646
11,7665
11,7685
11,7712
11,7766
11,7811
11,7873
11,7965
11,8207
11,8255
11,8338
11,8594
11,8597
11,8674
11,8731
11,8857
11,8975
11,8990
11,9097
11,9105
11,9128
11,9165
11,9167
11,9276
11,9544
11,9599
11,9618
11,9808
11,9811
11,9881
11,9885
11,10050
11,10083
11,10123
11,10196
11,10225
11,10228
11,10241
11,10249
11,10270
11,10323
11,10478
11,10514
11,10548
11,10573
11,10618
11,10623
11,10640
11,10697
11,11075
11,11090
11,11112
11,11440
11,11484
11,11519
11,11666
11,11699
11,11726
11,11903
11,11924
11,11933
11,11960
11,11979
11,12097
11,12173
11,12211
11,12338
11,12394
11,12583
