layer,neuron
5,619
5,1439
5,2048
5,4104
5,4211
5,4381
5,5658
5,8486
5,8613
5,8650
5,10793
5,11829
5,12503
5,12543
5,13440
6,4338
6,5050
6,7572
6,7905
6,11894
7,1
7,6
7,12
7,125
7,249
7,266
7,315
7,333
7,516
7,530
7,556
7,686
7,690
7,711
7,712
7,1273
7,1347
7,1429
7,1442
7,1500
7,2060
7,2122
7,2289
7,2518
7,3232
7,3235
7,3340
7,3561
7,3603
7,4092
7,4116
7,4348
7,4355
7,4405
7,4412
7,4488
7,4574
7,4778
7,4808
7,4890
7,5172
7,5268
7,5339
7,5403
7,5441
7,5462
7,5468
7,5611
7,5624
7,5662
7,5670
7,5674
7,5748
7,5935
7,5998
7,6012
7,6079
7,6097
7,6355
7,6432
7,6461
7,6637
7,6692
7,6787
7,6885
7,7401
7,7639
7,7747
7,7774
7,7780
7,7785
7,8044
7,8290
7,8460
7,8493
7,8885
7,8949
7,9007
7,9036
7,9062
7,9094
7,9213
7,9214
7,9406
7,9465
7,9610
7,9834
7,9845
7,10063
7,10082
7,10134
7,10152
7,10309
7,10374
7,10410
7,10495
7,10562
7,10706
7,10984
7,11013
7,11070
7,11363
7,11369
7,11605
7,11925
7,12044
7,12075
7,12099
7,12413
7,12416
7,12573
7,12662
7,12679
7,12710
7,12861
7,13177
7,13224
7,13238
7,13251
7,13332
7,13512
7,13538
7,13789
7,14037
8,14
8,74
8,83
8,164
8,318
8,374
8,377
8,714
8,721
8,733
8,923
8,1165
8,1340
8,1352
8,1362
8,1408
8,1597
8,1745
8,1746
8,1792
8,1947
8,2064
8,2105
8,2376
8,2492
8,2601
8,2681
8,2691
8,2729
8,2750
8,2751
8,2837
8,2844
8,3186
8,3460
8,3590
8,3704
8,3748
8,3890
8,4048
8,4079
8,4200
8,4232
8,4277
8,4396
8,4475
8,4569
8,4639
8,4657
8,4670
8,4831
8,4843
8,4859
8,4935
8,4988
8,5090
8,5198
8,5232
8,5518
8,5864
8,5896
8,5940
8,6218
8,6318
8,6386
8,6782
8,6828
8,6889
8,6949
8,7070
8,7192
8,7504
8,7558
8,7561
8,7668
8,7765
8,7782
8,7799
8,7848
8,7970
8,7983
8,8128
8,8386
8,8473
8,8656
8,8696
8,8810
8,9174
8,9207
8,9334
8,9375
8,9401
8,9421
8,9657
8,9858
8,9897
8,9957
8,9980
8,9989
8,10028
8,10102
8,10129
8,10207
8,10380
8,10515
8,10586
8,10620
8,10693
8,10830
8,10873
8,10883
8,10908
8,11026
8,11624
8,11702
8,11717
8,11773
8,11881
8,12260
8,12319
8,12359
8,12615
8,12627
8,12675
8,12823
8,12849
8,12920
8,12930
8,12975
8,13191
8,13222
8,13398
8,13864
8,13865
8,14053
8,14065
8,14247
9,25
9,34
9,177
9,246
9,286
9,308
9,357
9,433
9,553
9,580
9,587
9,590
9,769
9,821
9,964
9,971
9,1055
9,1143
9,1171
9,1193
9,1212
9,1234
9,1335
9,1594
9,1602
9,1617
9,1650
9,1732
9,1911
9,1931
9,1946
9,2066
9,2081
9,2144
9,2171
9,2205
9,2332
9,2344
9,2425
9,2578
9,2650
9,2699
9,2862
9,2942
9,3008
9,3063
9,3118
9,3119
9,3324
9,3331
9,3394
9,3575
9,3640
9,3748
9,3751
9,3790
9,3847
9,3849
9,3957
9,4038
9,4070
9,4102
9,4137
9,4163
9,4181
9,4302
9,4313
9,4320
9,4442
9,4463
9,4571
9,4575
9,4640
9,4646
9,4737
9,4949
9,4950
9,5009
9,5128
9,5166
9,5234
9,5405
9,5459
9,5526
9,5605
9,5615
9,5623
9,5771
9,5785
9,5798
9,5830
9,5857
9,5885
9,5902
9,6033
9,6040
9,6149
9,6447
9,6513
9,6562
9,6644
9,6650
9,6651
9,6701
9,6702
9,6822
9,6932
9,6933
9,6943
9,6963
9,7110
9,7123
9,7176
9,7280
9,7298
9,7337
9,7382
9,7411
9,7493
9,7621
9,7724
9,7738
9,7800
9,7801
9,7930
9,8080
9,8145
9,8181
9,8251
9,8506
9,8663
9,8672
9,8766
9,8808
9,8809
9,8982
9,9010
9,9131
9,9191
9,9257
9,9502
9,9560
9,9561
9,9629
9,9802
9,9813
9,9879
9,9902
9,9984
9,10020
9,10059
9,10116
9,10136
9,10140
9,10150
9,10205
9,10228
9,10299
9,10348
9,10536
9,10546
9,10575
9,10642
9,10713
9,10777
9,11173
9,11226
9,11264
9,11268
9,11286
9,11498
9,11515
9,11565
9,11573
9,11682
9,11691
9,11777
9,11927
9,11978
9,11997
9,12149
9,12191
9,12203
9,12274
9,12444
9,12448
9,12451
9,12495
9,12566
9,12578
9,12796
9,12799
9,12812
9,12930
9,13022
9,13126
9,13153
9,13159
9,13183
9,13412
9,13446
9,13535
9,13546
9,13607
9,13622
9,13626
9,13756
9,13799
9,13860
9,13898
9,13900
9,13907
9,14101
9,14103
9,14117
9,14161
10,78
10,231
10,252
10,301
10,309
10,440
10,446
10,494
10,543
10,549
10,552
10,583
10,682
10,1109
10,1115
10,1548
10,1751
10,2077
10,2151
10,2170
10,2345
10,2487
10,2677
10,2782
10,2905
10,3031
10,3150
