layer,neuron
4,7314
5,19
5,619
5,1439
5,2048
5,2231
5,2328
5,4104
5,4211
5,4381
5,4895
5,5658
5,6159
5,7103
5,7117
5,7739
5,8486
5,8613
5,8650
5,9243
5,10215
5,10374
5,10710
5,10793
5,11431
5,11553
5,11829
5,12072
5,12503
5,12543
5,12618
5,13440
5,13584
6,375
6,1603
6,1977
6,2630
6,4338
6,5050
6,5440
6,5608
6,7572
6,7905
6,9583
6,10380
6,11894
6,11957
7,1
7,6
7,12
7,14
7,125
7,186
7,189
7,218
7,228
7,242
7,249
7,266
7,315
7,333
7,370
7,477
7,516
7,521
7,530
7,532
7,556
7,599
7,659
7,686
7,690
7,711
7,712
7,858
7,880
7,1206
7,1273
7,1347
7,1429
7,1442
7,1457
7,1500
7,1654
7,1717
7,1884
7,1890
7,1907
7,1947
7,1951
7,2002
7,2060
7,2091
7,2122
7,2232
7,2248
7,2289
7,2368
7,2518
7,2780
7,2958
7,3081
7,3232
7,3235
7,3262
7,3278
7,3340
7,3396
7,3456
7,3561
7,3603
7,3932
7,3991
7,3992
7,4092
7,4116
7,4191
7,4222
7,4257
7,4348
7,4355
7,4405
7,4412
7,4488
7,4571
7,4574
7,4591
7,4776
7,4778
7,4805
7,4808
7,4890
7,4893
7,5007
7,5048
7,5172
7,5268
7,5290
7,5295
7,5339
7,5403
7,5415
7,5441
7,5457
7,5462
7,5468
7,5611
7,5624
7,5662
7,5670
7,5674
7,5683
7,5698
7,5748
7,5789
7,5935
7,5998
7,6012
7,6079
7,6084
7,6097
7,6302
7,6327
7,6355
7,6432
7,6461
7,6637
7,6692
7,6701
7,6787
7,6849
7,6885
7,7035
7,7140
7,7265
7,7283
7,7401
7,7639
7,7707
7,7747
7,7768
7,7774
7,7780
7,7785
7,7868
7,7980
7,8041
7,8044
7,8153
7,8184
7,8290
7,8303
7,8460
7,8493
7,8574
7,8602
7,8635
7,8751
7,8794
7,8806
7,8885
7,8945
7,8949
7,8985
7,9002
7,9007
7,9036
7,9062
7,9094
7,9213
7,9214
7,9341
7,9406
7,9434
7,9465
7,9563
7,9576
7,9610
7,9638
7,9759
7,9807
7,9834
7,9845
7,9963
7,9976
7,10021
7,10033
7,10063
7,10082
7,10134
7,10152
7,10155
7,10238
7,10309
7,10374
7,10404
7,10410
7,10495
7,10562
7,10596
7,10684
7,10706
7,10957
7,10984
7,11003
7,11013
7,11070
7,11329
7,11343
7,11363
7,11369
7,11452
7,11605
7,11925
7,11940
7,11957
7,12044
7,12075
7,12099
7,12413
7,12416
7,12573
7,12662
7,12675
7,12679
7,12710
7,12854
7,12861
7,12874
7,13120
7,13177
7,13224
7,13238
7,13251
7,13332
7,13512
7,13538
7,13789
7,13804
7,14037
7,14156
8,14
8,63
8,74
8,83
8,88
8,124
8,154
8,164
8,318
8,374
8,377
8,601
8,643
8,651
8,714
8,721
8,733
8,751
8,785
8,923
8,953
8,1059
8,1165
8,1188
8,1340
8,1352
8,1362
8,1364
8,1408
8,1465
8,1575
8,1597
8,1626
8,1664
8,1733
8,1745
8,1746
8,1768
8,1785
8,1792
8,1870
8,1947
8,1965
8,1999
8,2027
8,2033
8,2064
8,2105
8,2376
8,2492
8,2601
8,2611
8,2681
8,2691
8,2729
8,2750
8,2751
8,2837
8,2844
8,3046
8,3186
8,3303
8,3460
8,3479
8,3522
8,3590
8,3676
8,3704
8,3748
8,3765
8,3890
8,4009
8,4048
8,4079
8,4200
8,4232
8,4277
8,4294
8,4396
8,4475
8,4569
8,4602
8,4639
8,4657
8,4670
8,4815
8,4831
8,4843
8,4845
8,4859
8,4935
8,4988
8,5083
8,5090
8,5101
8,5169
