layer,neuron
3,3016
3,13461
3,14239
4,2325
4,7727
4,10231
4,10884
4,12916
5,374
5,417
5,462
5,533
5,619
5,1439
5,2048
5,2453
5,3174
5,3504
5,3734
5,4104
5,4211
5,4381
5,4724
5,4902
5,5595
5,5658
5,5670
5,6830
5,7335
5,7735
5,7777
5,7779
5,8486
5,8613
5,8650
5,9451
5,10002
5,10294
5,10793
5,11141
5,11323
5,11379
5,11605
5,11817
5,11829
5,12006
5,12070
5,12424
5,12503
5,12543
5,13009
5,13440
5,13965
6,231
6,354
6,463
6,576
6,756
6,849
6,864
6,970
6,1200
6,2049
6,2164
6,2269
6,2587
6,3522
6,4105
6,4338
6,5050
6,5302
6,6216
6,6710
6,6854
6,7130
6,7135
6,7498
6,7572
6,7670
6,7905
6,8100
6,8273
6,8476
6,9251
6,9808
6,9816
6,10009
6,11096
6,11716
6,11894
6,12661
6,12959
6,13347
6,13403
6,13810
6,13834
6,13880
6,13924
7,1
7,6
7,12
7,90
7,93
7,125
7,143
7,152
7,217
7,249
7,266
7,315
7,333
7,345
7,355
7,468
7,481
7,516
7,530
7,538
7,556
7,601
7,652
7,686
7,690
7,691
7,700
7,703
7,711
7,712
7,724
7,900
7,940
7,970
7,983
7,1025
7,1108
7,1150
7,1273
7,1308
7,1345
7,1347
7,1382
7,1429
7,1442
7,1477
7,1481
7,1487
7,1500
7,1513
7,1519
7,1600
7,1781
7,1785
7,1788
7,1959
7,2014
7,2060
7,2071
7,2122
7,2144
7,2191
7,2289
7,2307
7,2342
7,2398
7,2405
7,2518
7,2565
7,2573
7,2585
7,2611
7,2660
7,2666
7,2720
7,2745
7,2759
7,2812
7,2892
7,2948
7,2999
7,3008
7,3072
7,3078
7,3080
7,3094
7,3095
7,3121
7,3224
7,3232
7,3235
7,3305
7,3330
7,3340
7,3407
7,3411
7,3415
7,3520
7,3525
7,3561
7,3603
7,3611
7,3614
7,3615
7,3690
7,3698
7,3738
7,3808
7,3827
7,3847
7,3909
7,3958
7,4036
7,4092
7,4116
7,4130
7,4138
7,4239
7,4282
7,4309
7,4310
7,4338
7,4348
7,4355
7,4396
7,4405
7,4412
7,4425
7,4450
7,4488
7,4554
7,4574
7,4697
7,4728
7,4778
7,4795
7,4808
7,4866
7,4879
7,4890
7,4944
7,5019
7,5030
7,5113
7,5172
7,5220
7,5268
7,5270
7,5339
7,5379
7,5403
7,5441
7,5443
7,5462
7,5468
7,5560
7,5575
7,5597
7,5611
7,5624
7,5662
7,5670
7,5674
7,5704
7,5743
7,5748
7,5809
7,5858
7,5935
7,5954
7,5960
7,5973
7,5998
7,6012
7,6015
7,6041
7,6075
7,6079
7,6097
7,6104
7,6210
7,6326
7,6355
7,6361
7,6368
7,6369
7,6432
7,6437
7,6461
7,6482
7,6528
7,6539
7,6545
7,6548
7,6602
7,6637
7,6692
7,6702
7,6764
7,6777
7,6787
7,6797
7,6885
7,6965
7,7004
7,7091
7,7130
7,7252
7,7307
7,7401
7,7457
7,7485
7,7487
7,7489
7,7511
7,7626
7,7629
7,7639
7,7655
7,7662
7,7729
7,7747
7,7774
7,7780
7,7785
7,7804
7,7897
7,7909
7,7973
7,7987
7,8003
7,8018
7,8039
7,8044
7,8223
7,8226
7,8241
7,8290
7,8337
7,8339
7,8353
7,8360
7,8368
7,8446
7,8459
7,8460
7,8477
7,8493
7,8585
7,8650
7,8670
7,8862
7,8869
7,8885
7,8949
7,8990
7,8998
7,9007
7,9014
7,9036
7,9062
7,9094
7,9123
7,9126
7,9155
7,9175
7,9213
7,9214
7,9274
7,9296
7,9301
7,9349
7,9402
7,9406
7,9429
7,9461
7,9465
7,9558
7,9568
7,9606
7,9610
7,9717
7,9727
7,9802
7,9827
7,9834
7,9845
7,9877
7,9894
7,9911
7,9921
7,9996
7,10022
7,10063
7,10082
7,10097
7,10118
7,10130
7,10134
7,10136
7,10152
7,10207
7,10308
7,10309
7,10374
7,10378
7,10396
7,10410
7,10431
7,10460
7,10463
7,10465
7,10466
7,10495
7,10498
7,10562
7,10605
7,10627
7,10678
7,10690
7,10706
7,10760
7,10780
7,10832
7,10895
7,10902
7,10967
7,10984
7,11013
7,11038
7,11039
7,11045
7,11056
7,11070
7,11092
7,11124
7,11139
7,11180
7,11210
7,11300
7,11363
7,11369
7,11461
7,11584
7,11605
7,11656
7,11683
7,11717
7,11782
7,11786
7,11838
7,11907
7,11925
7,12012
7,12017
7,12020
7,12044
7,12075
7,12099
7,12130
7,12138
7,12174
7,12224
7,12272
7,12288
7,12308
7,12353
7,12413
7,12416
7,12548
7,12570
7,12573
7,12597
7,12645
7,12648
7,12662
7,12669
7,12679
7,12710
7,12728
7,12735
7,12737
7,12768
7,12791
7,12861
7,12879
7,12892
7,12926
7,12944
7,13018
7,13038
7,13144
7,13177
7,13178
7,13199
7,13224
7,13238
7,13251
7,13270
7,13280
7,13332
7,13405
7,13406
7,13428
7,13476
7,13512
7,13538
7,13600
7,13617
7,13656
7,13680
7,13695
7,13696
7,13722
7,13789
7,13925
7,14014
7,14037
7,14083
7,14306
8,6
8,14
8,74
8,83
8,148
